id,Guess_1,hypocrite,inauthentic,disingenuous,moral,ethical,trust,comm_h,lie_freq,future_lie,extreme_lie,Q602,Q603,Q600,Q489,Q490,Q615,hypo_2,inauth_2,disingen_2,moral_2,ethical_2,trust_2,comm_h2,lie_freq2,future_lie2,extreme_lie2,Q811,final_guess,gender,econ,age,purpose,condition,Country,Advice_num,Advice_denom,advice
24,1.5,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Extremely,Not often at all,Not very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Slightly often,Slightly likely,Somewhat extreme,I am ready to continue.,8.25,Male,0,22,To trust a random player and work together,1,2,6.75,7.74,0.872093023
25,6.24,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Slightly,Slightly,Slightly,Slightly often,Somewhat likely,Not very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Not very,Not very,Not very,Not very,Moderately often,Moderately likely,Not very extreme,I am ready to continue.,7.24,Female,2,56,I think it was merely to see if you trusted an individual who had proven to be selfish and untrustworthy in the past.,2,2,1,3,0.333333333
26,120,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat,Moderately,Somewhat,Somewhat,Somewhat often,Moderately likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat,Somewhat,Slightly,Somewhat,Somewhat often,Somewhat likely,Somewhat extreme,I am ready to continue.,11,Male,1,36,About a unknown person's honesty,2,1,109,110.76,0.984109787
27,30,Disagree,Disagree,Disagree,Very,Moderately,Moderately,Moderately,Not very often,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Somewhat agree,Somewhat agree,Not very,Somewhat,Not at all,Not very,Moderately often,Very likely,Not very extreme,I am ready to continue.,10,Male,0,27,Understanding how much we trust our partner given his history,1,1,20,20.76,0.963391137
28,4.25,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Extremely,Extremely,Not often at all,Not at all likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Slightly often,Somewhat likely,Not very extreme,I am ready to continue.,6.25,Female,1,55,I don't know.,1,2,2,4.99,0.400801603
29,4.53,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Somewhat,Slightly often,Moderately likely,Slightly extreme,RECEIVER,SENDER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Moderately often,Very likely,Not at all extreme,I am ready to continue.,6.92,Female,0,56,To see if I would trust a liar,2,2,2.39,4.71,0.507430998
30,8.5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Somewhat,Not very often,Extremely likely,Slightly extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Agree,Disagree,Agree,Somewhat,Somewhat,Not very,Not very,Slightly often,Extremely likely,Not at all extreme,I am ready to continue.,9.24,Male,0,32,To try and guess as close to the correct amount of money in the jar as possible.,1,2,0.74,0.74,1
31,5.8,Strongly disagree,Disagree,Disagree,Somewhat,Moderately,Somewhat,Slightly,Not very often,Not very likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Agree,Slightly,Not very,Not very,Not very,Somewhat often,Moderately likely,Not very extreme,I am ready to continue.,6.2,Male,1,34,To see how my decision was impacted by learning about the other person's history in the other game.,2,2,0.4,3.44,0.11627907
32,3.75,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Not very,Slightly often,Very likely,Not very extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all,Not at all,Not at all,Not at all,Very often,Extremely likely,Not at all extreme,I am ready to continue.,4.95,Female,1,49,I think you're trying to test if and how much I trust my partner who is a proven liar.,2,2,1.2,5.49,0.218579235
33,55,Disagree,Disagree,Disagree,Very,Moderately,Very,Very,Slightly often,Somewhat likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Extremely often,Extremely likely,Not at all extreme,I am ready to continue.,10,Male,1,26,To trust or not to trust others when the odds of them lying seem 100% and to make a decisive decision.,1,1,45,45.76,0.983391608
