ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
107,Somewhat likely,Agree,Disagree,Agree,Agree,Agree,Slightly,Slightly,Not very,Once in a while,Pretty often,Slightly,no,Male,32,Democrat,Voters opinion on a candidate in their party lying. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,24622,absolute,yes,6,2,6,6,6,3,3,2,3,5,3
108,Somewhat likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Once in a while,Once in a while,Slightly,No,Female,42,Democrat,Not sure ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,27547,flexible,no,3,3,3,3,3,4,4,4,3,3,3
109,Slightly likely,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat,Somewhat,Not very,Frequently,Pretty often,Very,None,Female,29,Other,Political candidates and how they campaign ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,63761,flexible,yes,6,5,5,6,7,4,4,2,6,5,6
110,Not very likely,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Not very,Not very,Not very,Pretty often,Frequently,Moderately,Hillary Clinton (public vs private position),Male,35,Democrat,perception of ethics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,13485,flexible,no,4,4,6,7,2,2,2,2,5,6,5
111,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Disagree,Not very,Not very,Not very,Frequently,Once in a while,Not very,No,Female,38,Other,Unknown,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,42509,flexible,no,4,4,6,5,2,2,2,2,6,3,2
112,Not at all likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Not at all,Not at all,Not at all,Always,Always,Extremely,All of them.,Male,64,Other,don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,93744,flexible,no,5,5,5,5,5,1,1,1,7,7,7
113,Moderately likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Moderately,Moderately,Moderately,Once in a while,Once in a while,Slightly,No,Female,64,Republican,Not sure,,"Yes, he did lie about his campaign contributions.",5,17745,control,no,5,5,5,5,5,5,5,5,3,3,3
114,Very likely,Disagree,Agree,Disagree,Disagree,Disagree,Very,Very,Very,Almost never,Almost never,Not very,"No not really, at least not one in particular. ",Female,29,Democrat,no guess,,"Yes, he did lie about his campaign contributions.",5,61094,control,no,2,6,2,2,2,6,6,6,2,2,2
115,Moderately likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Moderately,Moderately,Somewhat,Sometimes,Sometimes,Moderately,"Yes, Marco Rubio",Male,51,Democrat,Determining views of a candidate if the person claims to be something that they end up not fully living up to.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,41936,absolute,yes,5,4,5,5,6,5,5,4,4,4,5
116,Somewhat likely,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Moderately,Moderately,Moderately,Frequently,Frequently,Extremely,most of them,Male,30,Republican,to see what people think of politicians ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,37180,flexible,no,5,5,3,3,6,5,5,5,6,6,7
117,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Frequently,Frequently,Somewhat,Pretty much any politician,Female,25,Democrat,Evaluate trustworthiness of canidate,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,91713,flexible,yes,5,5,5,5,5,3,3,3,6,6,4
118,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Extremely,"yes, there have been many politicians who have said one thing and did another thing",Male,57,Democrat,to see what different persons think about ethics and truth in politics,,"Yes, he did lie about his campaign contributions.",5,83973,control,no,6,6,6,6,6,2,2,2,4,4,7
119,Slightly likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Slightly,Slightly,Slightly,Once in a while,Almost never,Very,no,Female,27,Democrat,unsure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,92313,flexible,yes,3,3,3,3,2,3,3,3,3,2,6
120,Not at all likely,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Not at all,Not at all,Not at all,Pretty often,Sometimes,Moderately,All of them.,Male,34,Republican,To test my thoughts on politicians. I'll sum it up for you...they're all lying crooks. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,44233,flexible,no,6,4,4,6,5,1,1,1,5,4,5
121,Not very likely,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Not very,Slightly,Not very,Pretty often,Sometimes,Moderately,There was no specific politician that came to mind but most politicians I believe bend the truth or don't reveal everything to the public.  ,Female,38,Democrat,I think the purpose was to see people's views when politicians lie.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,14917,absolute,yes,5,6,6,6,5,2,3,2,5,4,5
122,Very likely,Agree,Agree,Somewhat agree,Agree,Strongly agree,Very,Moderately,Moderately,Frequently,Always,Very,very well,Male,30,Republican,well,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,32202,absolute,yes,6,6,5,6,7,6,5,5,6,7,6
123,Somewhat likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Pretty often,Never ever,Somewhat,Liar,Female,44,Republican,See how people respond to poLIEticians,,"Yes, he did lie about his campaign contributions.",5,85909,control,no,4,4,4,4,4,4,4,4,5,1,4
124,Slightly likely,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Sometimes,Very,Sleepy Joe Biden,Male,40,Other,This study was about voting behaviors and response to ethics and morals in politics. I think that our country is morally corrupt and the fact that Sleep Joe stole the election proves that. Something needs to change. Drain the swamp!,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,79811,absolute,yes,5,5,6,6,6,2,2,2,5,4,6
125,Not very likely,Agree,Somewhat agree,Agree,Agree,Agree,Not very,Slightly,Not very,Pretty often,Pretty often,Somewhat,no,Male,32,Republican,how people view someone based on lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,50172,absolute,yes,6,5,6,6,6,2,3,2,5,5,4
126,Not very likely,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Not very,Slightly,Not very,Sometimes,Sometimes,Very,"Yes, plenty of them are funded by PACs and SuperPACs.",Male,42,Other,See how you feel about the morality of campaign funding.,,"Yes, he did lie about his campaign contributions.",5,71378,control,no,5,6,6,7,7,2,3,2,4,4,6
127,Somewhat likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,"Most of them, to be honest? Lying is endemic to the political field.",Female,29,Other,seeing how perceptions of lying and hypocrisy affect voting intentions?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,46361,absolute,no,6,6,6,6,6,2,2,2,5,5,5
128,Very likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very,Very,Moderately,Sometimes,Once in a while,Moderately,trump,Female,24,Other,how we perceive political candidates,,"Yes, he did lie about his campaign contributions.",5,61868,control,no,3,3,3,3,3,6,6,5,4,3,5
129,Not very likely,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Not very,Slightly,Not very,Sometimes,Sometimes,Somewhat,None in particular,Female,38,Democrat,To find out people's opinions about politicians and dishonesty.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,99021,absolute,no,6,5,6,7,7,2,3,2,4,4,4
130,Not very likely,Strongly agree,Agree,Agree,Agree,Somewhat disagree,Not very,Not very,Not very,Frequently,Frequently,Very,"All of them - Biden, Harris, Pelosi, AOC, Bernie.",Male,35,Other,See if after exposing people no matter how sweet their words if caught in a lie would change our opinion.,,"Yes, he did lie about his campaign contributions.",5,72735,control,no,7,6,6,6,3,2,2,2,6,6,6
131,Not very likely,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Not very,Not very,Not very,Sometimes,Once in a while,Moderately,"All of them, but most of all, President Trump",Female,26,Democrat,To see how a moral issue affects the opinion of a political candidate,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,54314,absolute,no,6,6,5,5,6,2,2,2,4,3,5
132,Not very likely,Agree,Agree,Strongly agree,Agree,Agree,Not very,Slightly,Slightly,Once in a while,Pretty often,Somewhat,Trump,Female,31,Democrat,To see if people have judgments against lying and find it immoral. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,19933,absolute,no,6,6,7,6,6,2,3,3,3,5,4
133,Somewhat likely,Agree,Agree,Agree,Agree,Agree,Somewhat,Somewhat,Slightly,Once in a while,Almost never,Moderately,Not that I can think of.,Male,27,Other,To understand what is and what isn't tolerable from politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,63313,absolute,yes,6,6,6,6,6,4,4,3,3,2,5
134,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,no,Female,29,Democrat,how people feel about those who lie,,"Yes, he did lie about his campaign contributions.",5,22064,control,no,7,7,7,7,7,1,1,1,6,6,7
135,Moderately likely,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Not very,Not very,Not very,Frequently,Pretty often,Slightly,All of them,Male,37,Republican,lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,30578,flexible,yes,3,6,6,4,3,2,2,2,6,5,3
136,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Pretty often,Pretty often,Very,Any politician that has ever lived.,Male,48,Democrat,Morality,,"Yes, he did lie about his campaign contributions.",5,91309,control,no,7,7,7,7,7,2,2,2,5,5,6
137,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Very,Bill Clinton,Male,56,Republican,Assess how much people believe it is moral or immoral to lie. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,34546,flexible,no,5,5,5,5,5,3,3,3,4,4,6
138,Slightly likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Once in a while,Moderately,It reminded me of Donald Trump who pretends to be very moral and ethical yet really lies a lot,Female,48,Democrat,"I think it has something to do with if people will still vote for politicians who are hypocritical, unethical, and caught in a lie if those politicians are from the person's own party.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,22211,absolute,yes,6,6,6,6,6,2,2,2,4,3,5
139,Slightly likely,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat,Slightly,Slightly,Pretty often,Frequently,Moderately,Donald Trump,Male,32,Other,"Do people think all politicians are liars? If so, are they just picking the lesser of two evils?",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,40137,flexible,no,7,7,6,7,6,4,3,3,5,6,5
140,Not very likely,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Not very,Not very,Not very,Once in a while,Sometimes,Somewhat,"In general yes, but no names come to mind.",Female,47,Other,I think the purpose is to study decisions about trust in the political system.,,"Yes, he did lie about his campaign contributions.",5,42391,control,no,5,5,6,6,6,2,2,2,3,4,4
141,Not at all likely,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Not at all,Not at all,Not at all,Pretty often,Pretty often,Somewhat,Pretty much the whole GOP these days,Male,35,Other,How people view this new trend of lying in politics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,92994,flexible,yes,5,3,7,7,3,1,1,1,5,5,4
142,Somewhat likely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat,Somewhat,Somewhat,Sometimes,Never ever,Not at all,"Warren. My understanding is that PACs aren't actually allowed to donate to candidates, but they are allowed to spend money on their behalf.",Male,34,Other,To assess my interpretation of a politicans statements.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,70391,absolute,no,1,1,1,1,1,4,4,4,4,1,1
143,Not very likely,Somewhat disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Slightly,Not very,Not very,Pretty often,Frequently,Extremely,"Joe Biden, Donald Trump",Male,42,Other,To see if people think it is acceptable for politicians to lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,69413,flexible,no,3,6,2,4,2,3,2,2,5,6,7
144,Slightly likely,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Somewhat,no,Male,44,Republican,I don't know.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,12292,absolute,yes,5,3,5,5,5,3,3,3,4,4,4
145,Somewhat likely,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Not very,Not very,Not very,Sometimes,Once in a while,Extremely,most politicians come to mind when I think of lying and deception,Female,35,Republican,how dishonesty alters feelings and likelihood to vote for politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,47689,absolute,no,6,6,5,5,7,2,2,2,4,3,7
146,Not very likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Slightly,Slightly,Not very,Pretty often,Sometimes,Moderately,He reminded me of President Trump,Male,44,Democrat,To see if I was okay with politicians telling blatant lies.,,"Yes, he did lie about his campaign contributions.",5,38438,control,no,5,6,5,5,6,3,3,2,5,4,5
147,Slightly likely,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,Slightly,Pretty often,Sometimes,Somewhat,None,Male,29,Republican,To see what I think about a certain politician.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,51239,flexible,no,5,3,4,4,5,4,4,3,5,4,4
148,Not very likely,Agree,Agree,Agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Sometimes,Sometimes,Somewhat,all of them,Male,36,Republican,to see if people think it is ok for poloticians to lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,85887,flexible,no,6,6,6,6,4,2,2,2,4,4,4
149,Slightly likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Slightly,Somewhat,Slightly,Once in a while,Once in a while,Extremely,yes,Female,59,Other,The purpose of the study was to determine one's personal view of morality and how it affects one's choices. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,50202,absolute,no,5,6,5,5,4,3,4,3,3,3,7
150,Not very likely,Agree,Strongly agree,Agree,Strongly agree,Agree,Not very,Not very,Not very,Frequently,Always,Extremely,All of them.,Female,40,Republican,Feelings towards politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,44530,absolute,yes,6,7,6,7,6,2,2,2,6,7,7
151,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Very,all liberals and career politicians pelosi,Male,40,Other,political thoughts,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,15760,flexible,no,7,7,7,7,7,1,1,1,7,7,6
152,Moderately likely,Disagree,Disagree,Disagree,Disagree,Disagree,Moderately,Moderately,Somewhat,Sometimes,Never ever,Somewhat,Every single one of them!,Female,36,Republican,Politicians and lying.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,34360,absolute,no,2,2,2,2,2,5,5,4,4,1,4
153,Slightly likely,Agree,Strongly agree,Agree,Strongly agree,Agree,Not very,Not very,Not at all,Frequently,Frequently,Very,None,Male,30,Democrat,Evaluating information about a senate aspirant ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,57366,absolute,yes,6,7,6,7,6,2,2,1,6,6,6
154,Somewhat likely,Agree,Agree,Agree,Agree,Agree,Somewhat,Somewhat,Somewhat,Pretty often,Pretty often,Moderately,all of them,Male,40,Other,views on politicians morality,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,77270,flexible,no,6,6,6,6,6,4,4,4,5,5,5
155,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Slightly,Slightly,Slightly,Pretty often,Pretty often,Moderately,Yes,Male,24,Democrat,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,48641,absolute,no,5,5,5,5,7,3,3,3,5,5,5
156,Slightly likely,Somewhat agree,Agree,Strongly agree,Agree,Agree,Somewhat,Somewhat,Slightly,Sometimes,Once in a while,Slightly,None in particular,Male,42,Democrat,How people judge political rhetoric,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,72757,flexible,yes,5,6,7,6,6,4,4,3,4,3,3
157,Slightly likely,Agree,Agree,Agree,Somewhat agree,Agree,Not very,Slightly,Not very,Sometimes,Pretty often,Very,no,Female,56,Republican,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,33968,flexible,yes,6,6,6,5,6,2,3,2,4,5,6
158,Slightly likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Frequently,Frequently,Extremely,Pretty much all of them.,Male,48,Other,"To determine if a politician lying about campaign contributions would keep me from voting from him/her.  To me, it would really depend on how awful the opposing candidate is and his/her positions.",,"Yes, he did lie about his campaign contributions.",5,51090,control,no,7,7,7,7,7,2,2,2,6,6,7
159,Slightly likely,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Slightly,Slightly,Slightly,Sometimes,Pretty often,Very,Just about all of them,Female,44,Other,Judgments of others,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,33761,flexible,yes,5,3,5,5,3,3,3,3,4,5,6
160,Somewhat likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly,Slightly,Slightly,Sometimes,Once in a while,Extremely,Donald Trump,Female,38,Democrat,Morals in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,45755,absolute,yes,7,7,7,7,7,3,3,3,4,3,7
161,Somewhat likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Slightly,It makes me think of some Democrats that tend to talk about moral issues and ethics but still take some contributions from corporations as you need money to win a election.,Male,25,Democrat,Perception of a candidate based on moral principles.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,92824,absolute,yes,4,4,4,4,5,3,3,3,4,4,3
162,Somewhat likely,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Slightly,Somewhat,Slightly,Sometimes,Pretty often,Not very,Joe Biden,Male,29,Other,Political image,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,40922,flexible,no,4,5,5,4,5,3,4,3,4,5,2
163,Somewhat likely,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat,Somewhat,Slightly,Sometimes,Pretty often,Moderately,Nobody specific.,Male,45,Democrat,To study how people perceive politicians' ethics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,62850,flexible,no,4,3,4,5,2,4,4,3,4,5,5
164,Not very likely,Somewhat agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Pretty often,Pretty often,Very,trump,Female,58,Democrat,I don't know  I am sorry.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,42993,absolute,no,5,6,6,6,6,2,2,2,5,5,6
165,Not very likely,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Slightly,Not very,Not very,Pretty often,Frequently,Moderately,Joe Biden,Male,39,Republican,To determine how I feel about politicians and their statements.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,23156,flexible,yes,6,5,5,5,3,3,2,2,5,6,5
166,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Not very,Not very,Not very,Frequently,Frequently,Very,"Pretty much every politician is a liar, in my personal experience with them.",Female,64,Democrat,To determine one's perception of a lying politician.,,"Yes, he did lie about his campaign contributions.",5,63136,control,no,5,5,5,5,4,2,2,2,6,6,6
167,Somewhat likely,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Slightly,Slightly,Slightly,Pretty often,Frequently,Very,This seems to be like most of your typical politicians.,Female,40,Republican,How we view lying in office,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,87071,flexible,no,3,3,5,5,3,3,3,3,5,6,6
168,Not at all likely,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Not very,Not very,Not at all,Frequently,Always,Extremely,"The description of Matthew Johnson brings to mind lots of politicians, primarily in the democratic party.  i.e.: Hillary Clinton - claimed no foreign money contributions when in fact these contributions were laundered thru the Clinton ""Crime"" Foundation prior to landing in Hillary's campaign account.  Just one example, but a good one.",Female,69,Republican,Perhaps to gain perspectives from participants as to how serious they view claims from political candidates related to the origin of their campaign contributions.,,"Yes, he did lie about his campaign contributions.",5,99309,control,no,7,4,6,7,7,2,2,1,6,7,7
169,Moderately likely,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat,Slightly,Slightly,Once in a while,Never ever,Extremely,"Not any in particular, but many politicians are not truthful about their campaign money.",Female,28,Republican,to see if people's perception changes based on dishonesty,,"Yes, he did lie about his campaign contributions.",5,40017,control,no,5,5,5,4,3,4,3,3,3,1,7
170,Not very likely,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly,Slightly,Not at all,Always,Always,Slightly,"All of them!  BTW: everybody lies, some more than others. You would lie if it would save a life (esp. your own) but Trump lies 100% of the time.",Female,59,Democrat,Some Trump related thingie,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,84482,flexible,no,1,1,7,7,1,3,3,1,7,7,3
171,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not at all,Pretty often,Frequently,Extremely,yes,Female,46,Democrat,To see if an individual supports another even if its blatantly clear that they're dishonest,,"Yes, he did lie about his campaign contributions.",5,15964,control,no,6,6,6,6,6,2,2,1,5,6,7
172,Not very likely,Somewhat disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Not very,Not very,Not very,Pretty often,Frequently,Extremely,Yes!!! Donald Trump!,Female,42,Other,Honesty and morality of politicians ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,13704,flexible,yes,3,2,4,4,2,2,2,2,5,6,7
173,Somewhat likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Slightly,Slightly,Slightly,Once in a while,Pretty often,Somewhat,No,Female,29,Republican,Unsure. To see how people view politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,88134,flexible,no,3,3,3,4,3,3,3,3,3,5,4
174,Not very likely,Agree,Agree,Agree,Strongly agree,Agree,Somewhat,Somewhat,Slightly,Pretty often,Pretty often,Very,Not that I can think of. ,Female,28,Democrat,To evaluate how people think about politicians who lie. ,,"Yes, he did lie about his campaign contributions.",5,95749,control,no,6,6,6,7,6,4,4,3,5,5,6
175,Slightly likely,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Moderately,Moderately,Moderately,Sometimes,Once in a while,Extremely,Joe Biden,Female,28,Republican,I think the purpose of this study was to see how you view ethics in politics.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,39233,absolute,yes,2,1,2,4,3,5,5,5,4,3,7
176,Very likely,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Moderately,Extremely,Extremely,Never ever,Always,Very,Joe Biden,Female,28,Other,To see how knowledgeable people are about candidates before they vote for them.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,91928,flexible,no,5,5,2,4,6,5,7,7,1,7,6
177,Slightly likely,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Not very,Slightly,Slightly,Sometimes,Sometimes,Extremely,None,Male,49,Democrat,To see if we would lie when we were asked if any politicians came to mind after the scenario.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,16340,absolute,yes,4,5,6,5,5,2,3,3,4,4,7
178,Not at all likely,Agree,Somewhat agree,Agree,Agree,Strongly agree,Not very,Not very,Not at all,Frequently,Frequently,Very,It brought almost ALL of them to mind.  Top of that list for me is Donald Trump. ,Female,40,Other,To see how people make decisions when new information is added to a candidate that they are really pulling for,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,61973,flexible,no,6,5,6,6,7,2,2,1,6,6,6
179,Very likely,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Moderately,Moderately,Very,Pretty often,Sometimes,Very,no,Female,44,Republican,Judgments the purpose of this study.,,"Yes, he did lie about his campaign contributions.",5,38996,control,no,5,6,5,7,6,5,5,6,5,4,6
180,Moderately likely,Agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Slightly,Somewhat,Slightly,Sometimes,Sometimes,Moderately,Most of the politicians I know,Male,46,Democrat,To see how people a lying affects people's judgement of a candidate.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,75734,absolute,no,6,7,6,5,7,3,4,3,4,4,5
181,Somewhat likely,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Slightly,Slightly,Slightly,Pretty often,Frequently,Moderately,"Yes, all of them.  They all lie. Some more than others.",Female,65,Democrat,To see if anybody is surprised if a politician is caught lying.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,60834,absolute,no,6,7,6,7,7,3,3,3,5,6,5
182,Not very likely,Agree,Disagree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Very,no,Female,47,Republican,To study people's views on honesty in politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,79187,flexible,no,6,2,6,6,6,2,2,2,4,4,6
183,Somewhat likely,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat,Somewhat,Somewhat,Once in a while,Once in a while,Somewhat,"Yes, it brought President-elect Joseph Biden to mind.",Male,52,Republican,The purpose of this study was to obtain participants' views on political candidates lying. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,56589,absolute,no,5,5,4,3,5,4,4,4,3,3,4
